"Edad","Hombres","Mujeres"
18,1,1
19,5.44819926594134,1
20,8.45397040287434,0.59304061106294
21,8.30630855167231,0.587002025115138
22,9.3590230136573,0.765412329186322
23,10.2351447878139,0.88989672254098
24,8.87533105258281,0.92446921364136
25,12.1931623634157,1.12129729810317
26,14.4650749738365,1.23172174602316
27,14.0553578394224,1.19501502654721
28,14.7339639375382,1.37366693961552
29,16.4351227218992,1.36476388157507
30,16.9285687070905,1.42429889820547
31,17.882975339868,1.61907548351645
32,18.6569190382465,1.68282518403491
33,18.8291081434591,1.80460655269258
34,19.877964904183,1.86754672295769
35,21.8600858201731,1.89418995176136
36,20.2357279642576,1.93221355560295
37,22.7245837419469,2.0116618258534
38,21.9946923982384,2.13085199699793
39,24.4487866976667,2.18580734884494
40,22.8895106883761,2.01035045697645
41,26.0261945154984,2.2041416693927
42,31.8763359607486,2.08792108411141
43,29.2391513183067,2.45367107192385
44,27.0336156169041,2.34667212210815
45,29.2531192691266,2.41569624951308
46,34.172534032046,2.55586981150671
47,30.2508331178956,2.99899706191175
48,36.9187031835429,3.09210933130501
49,43.3724802102195,2.79659366610589
50,44.2484583071682,3.26037434165853
51,41.4010840058274,3.35057366141572
52,36.9830316872196,3.46216673821491
53,45.4694343362966,3.42637663893006
54,46.8795268897593,3.0888040149868
55,43.4634046200441,3.09009418073554
56,45.0438839124484,3.23439658131514
57,44.8234089578755,3.10699160098783
58,42.4490269529687,3.42856051993605
59,43.4413889840645,3.71020846677987
60,38.7719326998725,3.42725811240689
61,44.80826075794,3.41592603943306
62,70.5422307210022,3.35725507927508
63,78.6477529734719,4.52926802522738
64,67.1046929810955,3.48982140438408
65,48.5277587235055,3.6307732761948
66,71.8532722409318,8.73488488179236
67,107.547755224796,9.15994904719622
68,99.5708096495431,9.58501321260008
69,85.374101624573,9.58501321260008
70,71.1773935996029,9.58501321260008
71,56.9806855746328,9.58501321260008
72,45.1287025132106,9.58501321260008
73,116.853491125688,9.58501321260008
74,116.853491125688,9.58501321260008
75,116.853491125688,9.58501321260008
76,116.853491125688,9.58501321260008
77,116.853491125688,9.58501321260008
78,116.853491125688,9.58501321260008
79,116.853491125688,9.58501321260008
80,116.853491125688,9.58501321260008
81,116.853491125688,9.58501321260008
82,116.853491125688,9.58501321260008
83,116.853491125688,9.58501321260008
84,116.853491125688,9.58501321260008
85,116.853491125688,9.58501321260008
